id,match_id,create_time,season,used
1,Svg7Thpx__N3LAxphviehxEU16RTyT07LuYv1_7hewCtxbDuTKs3ZYXx-qtK0eQrDg_HP87G1QBMB9Bv7EBGFW9JMLdpUXy_JA0oFE0IkiDCis5oBykytzHJcqTajvESIQCHu-h2Isw=,"2018-09-29 10:09:32",2018-09,1
2,Svg7Thpx__N3LAxphvieh5pnXNvTgKsWnHBWjZavu7scNWw7wVzHQce_nTojN53-bPXOIkJPjtRYIg8SrXrkJYjI2JK6lVB9ebQfukirKQeGJL-xVCgp9TQaaW6RR5LjXU5z6ISLiUA=,"2018-09-29 10:09:32",2018-09,1
3,Svg7Thpx__N3LAxphvieh0Q9MqKuOoXWl-h_QCRMLiV6-zV5JaBet9FuSEhbDzITP56urCr9PtJZsdF3tTrvmmEbOVM3XhZc4teKAb2vFLrbLTOM0sPVWzETx5C3-XQFEMBgMSKTolY=,"2018-09-29 10:09:32",2018-09,1
4,Svg7Thpx__N3LAxphvieh5yWrfVF6gT7EwJABsFaDwKdFJUar0eOO_h1IEvzNJEl8pP5gM2LnpSqVYVlmBSkyGdNczHCEYI89i1NSbyiCNxHU4WQ_cY7BamWpV0NFl_4KuEJWTmgooc=,"2018-09-29 10:09:32",2018-09,1
5,Svg7Thpx__N3LAxphvieh2PfrITkBj2MK6DnBfTLHgxYJAuezkIfxbwXrtviNwk3n6ldS0tbeYws8cVe602o09ql1xXbHJCJF4r8KSxIaOkzMBuaPbz6X4z3hvMI1_UISTW82k4wOIA=,"2018-09-29 10:09:32",2018-09,1
6,Svg7Thpx__N3LAxphvieh8X70YmPtjChIGdzMl7OcRMHfsN_xu0Lcq7RbDfG2txa3U1NBv3zwaiNNz_kUYniRaPZd0uNHSb5-ySAd22Ond5GefsXvpX-x_iMHjMBdKMLbf270oAZs3w=,"2018-09-29 10:09:32",2018-09,1
7,Svg7Thpx__N3LAxphvieh9wV4R00L9-0odeq1OTDARsUbfFo5NCO22TxMjyp9E5dd3-5ELIRtVCpoXPo2TcFPbQaf8bFOIfxwWsSbraXWALQR8K0BC4RTyf_wtgVsuZ5aYKAymIjD9U=,"2018-09-29 10:09:32",2018-09,1
8,Svg7Thpx__N3LAxphvieh8EFcHhSfFBeDoyDrimSr3fcpW34e0NX3nxrbE7OeNMTWX1hnTYDs955Lfu7dfSA8Lw67Y2Ac1UzuqMrvRUUlBxFo9s_bxjl4W_I96GEa_R7NQhDtK-0xsY=,"2018-09-29 10:09:32",2018-09,1
9,Svg7Thpx__N3LAxphvieh5EgQo5Afzham3D10RnE56NkjVv4kJ7fWKNB7hr4nIn7Jt6zXpy8fJybi2Pp4PaxfychzfwgWYEFmtRwN02JPw4zbo01qnnVBn21FP6T2pmc244xtfbjTDE=,"2018-09-29 10:09:32",2018-09,1
10,Svg7Thpx__N3LAxphviehynSIrfNis60IR7ulT6V5ug3kNrwrO_TMaEB_dzmTRE1JpNKJ8V0RZkJyXWBtSV_zxAUvJIH4sBn2DwWf56UkLAbkcn1t-mRPYsHqdkadDzTE-IZ40mjyVk=,"2018-09-29 10:09:32",2018-09,1
11,Svg7Thpx__N3LAxphviehwG3KEaRIcQrCGQYTxDIzxCbMGfi-F7Pvr0aPH5tzchFMzP1K9xEPqAdKOc6t2Pp0WiN7Yif9jkN_erdKXtbZsOJ6TqrYy5d3i2VXXSif4JIQP4cMgJvQTU=,"2018-09-29 10:09:32",2018-09,1
12,Svg7Thpx__N3LAxphviehwdXSsHiQtupT8kPY12sWfftLa7WYkZFOHOw5uagMXtQMIrP4mQPJB5_jzKSK6sqKhhOMFj08_n7FbokVul-IqzsHl_0vrPQQOOpxVBM6tsoWo8fnhpHKpQ=,"2018-09-29 10:09:32",2018-09,1
13,Svg7Thpx__N3LAxphvieh8MAh1mYq-ys80QgH_Sli5c6fV7fW0Y6QAQ-FjkiXDXwEzFqZ3Yb8qGgr_kpbmFQjVMJOMDEo4wPPr_C4zJF5OiculTeZTWPLCOXGzCi8Mq4UOu-mMmLmOs=,"2018-09-29 10:09:32",2018-09,1
14,Svg7Thpx__N3LAxphviehydyBV__-P_pdh_cd-ej-KIBaoM7UERpKZUX5iN2fD7JHPWEHVYIk_HCGi8VSz_Pi-0GmYyGIxrxT1TxAlA8hrhqh22lXpQeYNYMdFmbrBORfVaQdivlOnM=,"2018-09-29 10:09:32",2018-09,1
15,Svg7Thpx__N3LAxphvieh8brqdMqECVS69iokqSkV7BBF8Ufd0hIfQ5EiqMymqf_PfcQa3Xct8YJRc8iOjV-YYdQbp8d7vtXMAIKJk2MEPMbJh40KF0fqBgJl7BgavwTM4JLFZQZrlg=,"2018-09-29 10:09:32",2018-09,1
16,Svg7Thpx__N3LAxphvieh_OZp3ilrDtw5qxL-6dVct89qAqpH9BYXmKr7Ws28yyXDmeTYL3rdYgibALKBNKl3QplyXjXemU3x0HYNQrhPVOZVXI4cDdSBho5huPLwN-NuL43csBTapY=,"2018-09-29 10:09:32",2018-09,1
17,Svg7Thpx__N3LAxphviehzQ9BeEuBHf5VWUNUCsiHJkzcQi1cg_wX90A3pLgGLh6_bd-pIp-UjpMO49JgBZwsVzTutPPhxzAeFT1TBdfTcBxsmeEk6hAjC0b8bNo957ugR0bS3d2QXs=,"2018-09-29 10:09:32",2018-09,1
18,Svg7Thpx__N3LAxphviehxCpavE4lw0GEDb2CHdzsp_Hp6tlrZzDcqEmp3tp5tc9kbUqLyYnYDy6jTZvprqovQ8aObkoV4IaJqocMb1T-OTQO6NyUxz_yo67HSfrVYnoFALyvrLFt7w=,"2018-09-29 10:09:32",2018-09,1
19,Svg7Thpx__N3LAxphvieh2tu1SSw6S_gG1AwatcwMxHI-VO345pigGqFPgyNYfab_eRHnEo_5RrQJi7vtdmKwSQ68sM_MdVEEdOyXXP8SVCEgnzcuJdo8LEiPcA2yNTLPSIyQfFyh5c=,"2018-09-29 10:09:32",2018-09,1
20,Svg7Thpx__N3LAxphvieh8eyeFu6IK_3wkjTeEQlGIp2LaWcGCTA4Nk-sXgULF1Do9gNJVVHZR-4BRPyEorZRlqnO9Inwi8xgxbc9E3xjmwc5cAmKGtFKp4K3bHXXPkfz5MpDdE4Tzs=,"2018-09-29 10:09:32",2018-09,1
21,Svg7Thpx__N3LAxphviehyXRGiqgB4cspNbT0iRjVvcEVn6hZmhbu-bXrF6Oq3dP-0jjmd0tl73wBGXx0lST_6NqL6uB_nibHG8dPt24FpWorub-CgSda-uxJAWMksEAhzX8l2GFHyU=,"2018-09-30 16:05:54",2018-09,1
22,Svg7Thpx__N3LAxphvieh5cgfGSjuT_fKCprvPMgmXmaRSZw42XjlOHiLAfisB6cxPFeNtZ5SJX5anA4YrUBlQ_HUa6RqCjV3welzEkZBfBHsNl0QnEKpA3CZXYoIoBG71H08_Xg6Do=,"2018-09-30 16:05:54",2018-09,1
23,Svg7Thpx__N3LAxphvieh69zt4JcRzeGN7oQVRf_hD0l45ozBApIzAPzIdXInfcHHGedIKLR2OqHskEuZvWFAVTzGug4_N1hZYROgUtVudgVA4HS33OUBdZg5KvfuAsUZoa2opjSfz8=,"2018-09-30 16:05:54",2018-09,1
24,Svg7Thpx__N3LAxphviehzR7QcMIjJ1ZaXVUdKMMQNKTT1B_waAssAkp8sC1tBoYOILKd_ACSSyi0NBIC8nCYggP7plyzXfVvXby0_ixMti4QfmtbyZVopMWUsVBW4T9IqBl4f3RoOs=,"2018-09-30 16:05:54",2018-09,1
25,Svg7Thpx__N3LAxphviehxmGa9WBRaCtBvH39WmhBhQOYlQk8I-wN5I_z0AFK1UBQ5P09S-djJ9nHCpyqbzeB4JrRaYQkm_0gOKF8KvU8boQm5XGIGPQl2PtGvuqZTPq97JQ0iRjalo=,"2018-09-30 16:05:54",2018-09,1
26,Svg7Thpx__N3LAxphviehy-UU_7apb1kg7oZ4eDV5yAHYljoiXw9HZi9GmcWzlav9JTCwauz8_u6eM0zc0ONgc9FzIjA_N0_dJ-nKSjpuREgOWswF7ivUF3cBSCQeTTo_s6AdpwNzJc=,"2018-09-30 16:05:54",2018-09,1
27,Svg7Thpx__N3LAxphviehxWZbn0dlvaQXRwXF2FHqSrllHmWytpyi-gxleXHpJsZQRpmuDTo8AxNDCYltsPG6igkuKUPG0QhdpBrBaYwgs9ipz9TvvMq8-cp3T4gMZn6BkoXJLL3jBE=,"2018-09-30 16:05:54",2018-09,1
28,Svg7Thpx__N3LAxphvieh384BYoVwOqefxCo9CLWgDKls1UqCYSqkDJ4Ys2Sa9YRoo8Oh3SvmGtNbQhJJbkIOcar3o8ZD39uSkx8aPNoycmidEdO2sNJsyDyzq30Wt6b50HyMTNn3B4=,"2018-09-30 16:05:54",2018-09,1
29,Svg7Thpx__N3LAxphvieh_Zr2OVEtmCv2pxal4pv7gcjDsSKOxmIjygODchkm5qvG7_co8IytIFEkM4ggIUcDXMtaJAdnGtu1vtQhDQO8i3fs2tfGzaPPrjHjkidiK0fGpoAUAKkzAo=,"2018-09-30 16:05:54",2018-09,1
30,Svg7Thpx__N3LAxphviehyKWlXXWSHENHl8tN5rE2T5Hyw2bqIRAIzlIavzcfPmsporgegNPE8leHkPLJs0LhuWmy3GQimQOB_DUa2_GicttoLPmimxIcdNYMuG6WnA1WZGhnqeRk4c=,"2018-09-30 16:05:54",2018-09,1
31,Svg7Thpx__N3LAxphvieh4CRkF7uPN6Wndm5b6AfU_zJyq6anDrFu3ttLl7l7B6qf4KxYvEGaQR3g63CPYdrlRor1MUjv9bHTTCdLZF3UtGjMLYcEE10-4FYkHwDQgSnpMEoWsV31Pk=,"2018-09-30 16:05:54",2018-09,1
32,Svg7Thpx__N3LAxphvieh8Tbks8gzqsScPNl1JediuWS5_kmribds8aiiRnqhaB3iKY1taHTq3g3fSnsaRqjLWYAWlHmd4jTjgYuZ2U-P_jHuI6Lk7VdkQPPnXxFrtqIA0zMf29gJC4=,"2018-09-30 16:05:54",2018-09,1
